"dod_firm","lob_firm","dod_awards","dod_contracts","lob_payments"
"pacific advanced technology","","99315","1","0"
"hood technology corp","","998683","4","0"
"thin gap corp formerly g and g technolog","","848472","1","0"
"procerus technologies lc","","849937","2","0"
"svs inc","","993671","1","0"
"numerica corp","numerica corp","4043189","5","0"
"information extraction and transport inc","","1587666","3","0"
"innovative concepts inc","innovative concepts","1030446","2","330000"
"defense group inc","defense group","99935","1","610000"
"perceptronics solutions inc","","2224990","5","0"
"architecture technology corp","","848677","2","0"
"chiaro technologies llc","","750000","1","0"
"coherent technologies inc","coherent technologies","5453032","15","510000"
"big fun development corp","","919740","3","0"
"kor electronics","kor electronics","1499998","1","290000"
"zona technology inc","","1284184","6","0"
"fibersense technology corp","","117603","2","0"
"us positioning group llc","","99874","1","0"
"energid technologies","enerdyne technologies","69948","1","115000"
"cybernet systems corp","cybernet systems","2019596","5","1192000"
"advanced ceramics research inc","advanced ceramics research","12009838","23","1439277"
"mc10 inc","","100000","1","0"
"zeger abrams inc","","744345","1","0"
"system dynamics","","299651","3","0"
"rvm scientific inc","","100000","1","0"
"sky research inc","sky research","79994","1","0"
"paneratech","","99921","1","0"
"jm harwood llc","","796267","2","0"
"scientific applications and research associates","","8731153","17","0"
"giner inc","giner inc","821298","2","60000"
"first rf corp","firstar corp","7186612","20","20000"
"ram photonics","","99950","1","0"
"malibu research associates inc","","849772","2","0"
"mission research corp","","2382885","3","0"
"tessera technologies inc","tessera technologies","69918","1","1320000"
"sa photonics","sa photonics","1926328","6","130000"
"saraswati associates","","746624","1","0"
"intevac inc","","99676","1","0"
"williams pyro inc","williams pyro inc","1599809","3","130000"
"digital system resources inc","digital system resources inc","100000","1","440000"
"alphatech inc","","1445738","9","0"
"farco technologies inc","","230000","2","0"
"m dot aerospace","m dot aerospace","2646574","6","20000"
"photon x inc","photon x inc","749807","1","0"
"scitec inc","","986684","1","0"
"vista research inc","vista research","79613","1","160000"
"connecticut analytical corp","","69988","1","0"
"delta group international llc","","69941","1","0"
"srs technologies","","199164","2","0"
"cati training systems llc","","69734","1","0"
"infoscitex corp","","3270241","5","0"
"anro engineering inc","","50653","1","0"
"compusensor technology corp","","697726","2","0"
"ziva corp","","2147186","2","0"
"left hand design corp","","748202","1","0"
"centeye inc","","3685443","5","0"
"applied nanotech inc","","99997","1","0"
"cbrite inc","","149882","1","0"
"nextech materials ltd","","100000","1","0"
"aeronix inc","","1442798","2","0"
